ID;period_first_selected;selected_for_201804;size_band;size;newly_selected_month
421;201804;Y;1;0-4;Apr
422;201802;Y;1;0-4;Feb
423;201801;Y;7;Oct-19;Jan
424;201804;Y;1;0-4;Apr
425;201804;Y;6;05-Sep;Apr
426;201801;Y;1;0-4;Jan
427;201802;Y;1;0-4;Feb
428;201801;Y;1;0-4;Jan
429;201801;Y;1;0-4;Jan
430;201804;Y;1;0-4;Apr
431;201803;Y;1;0-4;Mar
432;201803;Y;1;0-4;Mar
433;201804;Y;6;05-Sep;Apr
434;201803;Y;6;05-Sep;Mar
435;201802;Y;6;05-Sep;Feb
436;201804;Y;6;05-Sep;Apr
437;201802;Y;1;0-4;Feb
438;201801;Y;6;05-Sep;Jan
439;201801;Y;6;05-Sep;Jan
440;201803;Y;1;0-4;Mar
441;201803;Y;1;0-4;Mar
442;201802;Y;1;0-4;Feb
443;201801;Y;6;05-Sep;Jan
444;201804;Y;1;0-4;Apr
445;201803;Y;6;05-Sep;Mar
446;201804;Y;6;05-Sep;Apr
447;201802;Y;1;0-4;Feb
448;201804;Y;6;05-Sep;Apr
449;201802;Y;6;05-Sep;Feb
450;201803;Y;6;05-Sep;Mar
451;201803;Y;6;05-Sep;Mar
452;201803;Y;6;05-Sep;Mar
453;201801;Y;7;Oct-19;Jan
454;201802;Y;6;05-Sep;Feb
455;201803;Y;1;0-4;Mar
456;201802;Y;6;05-Sep;Feb
457;201803;Y;1;0-4;Mar
458;201802;Y;1;0-4;Feb
459;201803;Y;6;05-Sep;Mar
460;201803;Y;6;05-Sep;Mar
461;201802;Y;1;0-4;Feb
462;201804;Y;1;0-4;Apr
463;201802;Y;1;0-4;Feb
464;201801;Y;1;0-4;Jan
465;201804;Y;1;0-4;Apr
466;201802;Y;6;05-Sep;Feb
467;201802;Y;1;0-4;Feb
468;201804;Y;6;05-Sep;Apr
469;201801;Y;1;0-4;Jan
470;201803;Y;6;05-Sep;Mar
471;201804;Y;6;05-Sep;Apr
472;201802;Y;1;0-4;Feb
473;201804;Y;6;05-Sep;Apr
474;201803;Y;7;Oct-19;Mar
475;201801;Y;7;Oct-19;Jan
476;201801;Y;1;0-4;Jan
477;201804;Y;1;0-4;Apr
478;201803;Y;1;0-4;Mar
479;201801;Y;1;0-4;Jan
480;201803;Y;1;0-4;Mar
481;201804;Y;1;0-4;Apr
482;201804;Y;1;0-4;Apr
483;201801;Y;1;0-4;Jan
484;201803;Y;7;Oct-19;Mar
485;201802;Y;1;0-4;Feb
486;201803;Y;1;0-4;Mar
487;201803;Y;1;0-4;Mar
488;201801;Y;6;05-Sep;Jan
489;201804;Y;7;Oct-19;Apr
490;201803;Y;6;05-Sep;Mar
491;201803;Y;1;0-4;Mar
492;201802;Y;1;0-4;Feb
493;201802;Y;1;0-4;Feb
494;201803;Y;1;0-4;Mar
495;201801;Y;1;0-4;Jan
496;201802;Y;6;05-Sep;Feb
497;201803;Y;7;Oct-19;Mar
498;201802;Y;1;0-4;Feb
499;201804;Y;1;0-4;Apr
500;201801;Y;6;05-Sep;Jan
501;201803;Y;6;05-Sep;Mar
502;201804;Y;7;Oct-19;Apr
503;201802;Y;1;0-4;Feb
504;201801;Y;7;Oct-19;Jan
505;201804;Y;6;05-Sep;Apr
506;201804;Y;7;Oct-19;Apr
507;201804;Y;1;0-4;Apr
508;201801;Y;1;0-4;Jan
509;201804;Y;6;05-Sep;Apr
510;201801;Y;6;05-Sep;Jan
511;201802;Y;1;0-4;Feb
512;201804;Y;6;05-Sep;Apr
513;201803;Y;1;0-4;Mar
514;201801;Y;1;0-4;Jan
515;201803;Y;6;05-Sep;Mar
516;201804;Y;1;0-4;Apr
517;201801;Y;6;05-Sep;Jan
518;201803;Y;1;0-4;Mar
519;201804;Y;6;05-Sep;Apr
520;201804;Y;7;Oct-19;Apr
521;201804;Y;1;0-4;Apr
522;201801;Y;1;0-4;Jan
523;201801;Y;1;0-4;Jan
524;201804;Y;1;0-4;Apr
525;201803;Y;1;0-4;Mar
526;201802;Y;1;0-4;Feb
527;201801;Y;6;05-Sep;Jan
528;201803;Y;1;0-4;Mar
529;201803;Y;1;0-4;Mar
530;201801;Y;6;05-Sep;Jan
531;201801;Y;1;0-4;Jan
532;201802;Y;1;0-4;Feb
533;201803;Y;1;0-4;Mar
534;201803;Y;1;0-4;Mar
535;201801;Y;6;05-Sep;Jan
536;201801;Y;7;Oct-19;Jan
537;201801;Y;6;05-Sep;Jan
538;201801;Y;1;0-4;Jan
539;201804;Y;1;0-4;Apr
540;201801;Y;1;0-4;Jan
541;201803;Y;1;0-4;Mar
542;201804;Y;1;0-4;Apr
543;201803;Y;1;0-4;Mar
544;201803;Y;1;0-4;Mar
545;201804;Y;1;0-4;Apr
546;201801;Y;6;05-Sep;Jan
547;201801;Y;6;05-Sep;Jan
548;201803;Y;1;0-4;Mar
549;201803;Y;1;0-4;Mar
550;201801;Y;6;05-Sep;Jan
551;201804;Y;6;05-Sep;Apr
552;201803;Y;7;Oct-19;Mar
553;201803;Y;1;0-4;Mar
554;201804;Y;6;05-Sep;Apr
555;201801;Y;1;0-4;Jan
556;201803;Y;6;05-Sep;Mar
557;201801;Y;1;0-4;Jan
558;201804;Y;1;0-4;Apr
559;201803;Y;1;0-4;Mar
560;201804;Y;1;0-4;Apr
561;201804;Y;1;0-4;Apr
562;201804;Y;1;0-4;Apr
563;201801;Y;6;05-Sep;Jan
564;201801;Y;7;Oct-19;Jan
565;201803;Y;1;0-4;Mar
566;201802;Y;6;05-Sep;Feb
567;201802;Y;1;0-4;Feb
568;201804;Y;1;0-4;Apr
569;201801;Y;1;0-4;Jan
570;201803;Y;6;05-Sep;Mar
571;201804;Y;1;0-4;Apr
572;201804;Y;6;05-Sep;Apr
573;201801;Y;1;0-4;Jan
574;201804;Y;1;0-4;Apr
575;201803;Y;1;0-4;Mar
576;201803;Y;6;05-Sep;Mar
577;201804;Y;1;0-4;Apr
578;201801;Y;6;05-Sep;Jan
579;201802;Y;1;0-4;Feb
580;201803;Y;1;0-4;Mar
581;201802;Y;6;05-Sep;Feb
582;201801;Y;6;05-Sep;Jan
583;201802;Y;7;Oct-19;Feb
584;201803;Y;1;0-4;Mar
585;201801;Y;6;05-Sep;Jan
586;201803;Y;1;0-4;Mar
587;201804;Y;1;0-4;Apr
588;201801;Y;1;0-4;Jan
589;201804;Y;1;0-4;Apr
590;201803;Y;1;0-4;Mar
591;201804;Y;6;05-Sep;Apr
592;201803;Y;1;0-4;Mar
593;201803;Y;1;0-4;Mar
594;201803;Y;1;0-4;Mar
595;201803;Y;1;0-4;Mar
596;201802;Y;6;05-Sep;Feb
597;201801;Y;6;05-Sep;Jan
598;201802;Y;1;0-4;Feb
599;201804;Y;1;0-4;Apr
600;201802;Y;7;Oct-19;Feb
601;201803;Y;1;0-4;Mar
602;201804;Y;6;05-Sep;Apr
603;201801;Y;1;0-4;Jan
604;201801;Y;7;Oct-19;Jan
605;201801;Y;1;0-4;Jan
606;201802;Y;1;0-4;Feb
607;201803;Y;1;0-4;Mar
608;201803;Y;6;05-Sep;Mar
609;201803;Y;1;0-4;Mar
610;201802;Y;1;0-4;Feb
611;201804;Y;1;0-4;Apr
612;201802;Y;6;05-Sep;Feb
613;201801;Y;1;0-4;Jan
614;201804;Y;1;0-4;Apr
615;201802;Y;7;Oct-19;Feb
616;201804;Y;1;0-4;Apr
617;201801;Y;6;05-Sep;Jan
618;201804;Y;1;0-4;Apr
619;201804;Y;6;05-Sep;Apr
620;201803;Y;1;0-4;Mar
621;201803;Y;1;0-4;Mar
622;201802;Y;6;05-Sep;Feb
623;201801;Y;6;05-Sep;Jan
624;201803;Y;1;0-4;Mar
625;201803;Y;7;Oct-19;Mar
626;201801;Y;6;05-Sep;Jan
627;201804;Y;7;Oct-19;Apr
628;201804;Y;1;0-4;Apr
629;201801;Y;6;05-Sep;Jan
630;201804;Y;1;0-4;Apr
631;201802;Y;7;Oct-19;Feb
632;201804;Y;1;0-4;Apr
633;201804;Y;6;05-Sep;Apr
634;201801;Y;6;05-Sep;Jan
635;201801;Y;1;0-4;Jan
636;201801;Y;1;0-4;Jan
637;201801;Y;6;05-Sep;Jan
638;201803;Y;1;0-4;Mar
639;201804;Y;1;0-4;Apr
640;201801;Y;6;05-Sep;Jan
641;201801;Y;6;05-Sep;Jan
642;201804;Y;6;05-Sep;Apr
643;201802;Y;6;05-Sep;Feb
644;201801;Y;7;Oct-19;Jan
645;201802;Y;1;0-4;Feb
646;201801;Y;6;05-Sep;Jan
647;201804;Y;1;0-4;Apr
648;201801;Y;6;05-Sep;Jan
